Ticker,Nemonico_BVL,Emisor,beta,alpha,r2,p_valor,n_obs_beta,nota
ALICORC1.LM,ALICORC1,Alicorp S.A.A.,0.311458,7e-06,0.0836,0.0,2000,
BACKUSI1.LM,BACKUSI1,Unión de Cervecerías Peruanas Backus y Johnston,0.108912,0.000146,0.0109,3e-06,2002,
BAP,BAP,Credicorp Ltd.,0.902202,2e-06,0.4532,0.0,2010,
BBVAC1.LM,BBVAC1,Banco BBVA Perú,0.38556,-0.000186,0.1235,0.0,1999,
CPACASC1.LM,CPACASC1,Cementos Pacasmayo S.A.A.,0.224099,1.8e-05,0.0299,0.0,2001,
CREDITC1.LM,CREDITC1,Banco de Crédito del Perú,0.215367,0.000309,0.0295,0.0,2001,
FERREYC1.LM,FERREYC1,Ferreycorp S.A.A.,0.395674,0.000207,0.1135,0.0,1999,
LUSURC1.LM,LUSURC1,Luz del Sur S.A.A.,0.168888,0.00011,0.0177,0.0,2004,
SCCO,SCCO,Southern Copper Corporation,1.16989,0.000384,0.548,0.0,2010,
UNACEMC1.LM,UNACEMC1,UNACEM Corp S.A.A.,0.337374,-0.000211,0.0692,0.0,2001,
