Ticker,Nemonico_BVL,Emisor,Sector_economico,N_observaciones,Fecha_inicio,Fecha_fin,Precio_promedio,Precio_minimo,Precio_maximo,Dividend_yield_promedio_anual
ALICORC1.LM,ALICORC1,Alicorp S.A.A.,Consumo masivo,2001,2018-01-02,2025-12-31,7.847881046192221,4.5,11.989999771118164,0.05435214380220246
BACKUSI1.LM,BACKUSI1,Unión de Cervecerías Peruanas Backus y Johnston,Bebidas,2003,2018-01-02,2025-12-31,21.921387916675403,16.170000076293945,32.380001068115234,0.07038672993738056
BAP,BAP,Credicorp Ltd.,Financiero,2011,2018-01-02,2025-12-31,174.77560405835533,92.3000030517578,291.5,0.044452812355498264
BBVAC1.LM,BBVAC1,Banco BBVA Perú,Banca,2000,2018-01-02,2025-12-31,1.8291336967349052,1.2443150281906128,2.813715934753418,0.04247201678652748
CPACASC1.LM,CPACASC1,Cementos Pacasmayo S.A.A.,Cemento y construccion,2002,2018-01-02,2025-12-31,5.1620579391092685,3.5199999809265137,8.399999618530273,0.08623198142774544
CREDITC1.LM,CREDITC1,Banco de Crédito del Perú,Banca,2002,2018-01-02,2025-12-31,3.3757712293219018,1.689134955406189,5.630000114440918,0.050379524150316095
FERREYC1.LM,FERREYC1,Ferreycorp S.A.A.,Maquinaria y servicios,2000,2018-01-02,2025-12-31,2.3549499966502188,1.1200000047683716,3.900000095367432,0.09138695946517061
LUSURC1.LM,LUSURC1,Luz del Sur S.A.A.,Electricidad,2005,2018-01-02,2025-12-31,16.014693257338983,10.300000190734863,29.25,0.0496973002333818
SCCO,SCCO,Southern Copper Corporation,Mineria,2011,2018-01-02,2025-12-31,62.56206261489238,21.989856719970703,145.1232147216797,0.03961529074720362
UNACEMC1.LM,UNACEMC1,UNACEM Corp S.A.A.,Cemento y construccion,2002,2018-01-02,2025-12-31,1.8571428607751082,1.0,3.049999952316284,0.03785226137423586
